,fsqid,name,latitude,longitude,category,popularity,price,rating,stats,free_bikes
72,c2a711f958244e92289dfcc5,Global Agencies,23.229068,77.442164,"Retail,",,,,,5
73,5582bb22498e3b830b8231cd,Agarwals Rajbhog,23.229068,77.442164,"Indian Restaurant,",0.8049624927870744,,,,5
74,4f0afd05e4b08f524b491ff4,Kailash Tea Stall,23.229068,77.442164,"Tea Room,",0.3721869590305828,2.0,,,5
75,4e4b9972483bb8f059939fa4,Mileage Advertisements,23.229068,77.442164,"Arts and Crafts Store,",0.5678015002885171,,,,5
76,51482396e4b0131c2319a25d,Kathi hut,23.229068,77.442164,"Restaurant,",0.3987305251009809,2.0,,,5
77,58bfe2309ab6631a4190010c,Papa Mexicano,23.229068,77.442164,"Restaurant,",0.4904789382573571,1.0,,,5
78,4d42c7ec1629b60c2d689a89,Bake 'n' Shake,23.229068,77.442164,"Bakery,Restaurant,",0.5963646855164455,1.0,7.8,"{'total_photos': 7, 'total_ratings': 17, 'total_tips': 9}",5
79,4e915ff9b8f79f71deda22fb,Arya Bhawan Restaurant,23.229068,77.442164,,0.2862088863242931,,,,5
80,4e428ad162e13c6ce80aac0a,Archana Optics,23.22874,77.428269,"Cosmetics Store,",0.7971725331794576,,,,4
81,4e47e361d164155c0df82a40,Shri Krishna Dairy,23.22874,77.428269,"Restaurant,",0.6858049624927871,1.0,,,4
82,4e428e9e1495179c014fc0b3,Comfort Journey,23.22874,77.428269,"Automotive Retail,",0.1156953260242354,,,,4
83,4e428b2862e13c6ce80ab093,6no Food Stall,23.22874,77.428269,"Food Court,",0.9927870744373918,,,,4
84,4e428a481495179c014f8721,Cyber World,23.22874,77.428269,"Electronics Store,",0.5536641661858049,,,,4
85,4e0d8090a8099e1525ff8ba7,10 Downing Street,23.22874,77.428269,"Indian Restaurant,",0.3845931909982689,1.0,8.0,"{'total_photos': 11, 'total_ratings': 35, 'total_tips': 9}",4
86,5b9f7d795d891b002c18f310,Cinépolis - Db Mall,23.22874,77.428269,"Movie Theater,",0.9160415464512406,,7.4,"{'total_photos': 4, 'total_ratings': 0}",4
87,4e2e82f6aeb7e1b8af9b8ece,McDonald's,23.22874,77.428269,"Burger Joint,Fast Food Restaurant,",0.93133294864397,1.0,7.6,"{'total_photos': 4, 'total_ratings': 19, 'total_tips': 5}",4
88,4cce8f263cb6b71397cbc3c8,DB City Mall,23.22874,77.428269,"Shopping Mall,",0.9593190998268898,,7.5,"{'total_photos': 71, 'total_ratings': 120, 'total_tips': 34}",4
89,4db19b664df03036e8d2082e,D.B City Mall,23.22874,77.428269,"Department Store,",0.9942296595499136,,8.1,"{'total_photos': 13, 'total_ratings': 19, 'total_tips': 3}",4
90,4d13550e37f1236a9b77801b,Sagar Gaire,23.225072,77.42874,"Fast Food Restaurant,Indian Restaurant,",0.9763416041546452,2.0,7.2,"{'total_photos': 4, 'total_ratings': 31, 'total_tips': 19}",5
91,4e47e361d164155c0df82a40,Shri Krishna Dairy,23.225072,77.42874,"Restaurant,",0.6858049624927871,1.0,,,5
92,4e428b2862e13c6ce80ab093,6no Food Stall,23.225072,77.42874,"Food Court,",0.9927870744373918,,,,5
93,4e428e9e1495179c014fc0b3,Comfort Journey,23.225072,77.42874,"Automotive Retail,",0.1156953260242354,,,,5
94,4e428ad162e13c6ce80aac0a,Archana Optics,23.225072,77.42874,"Cosmetics Store,",0.7971725331794576,,,,5
95,4e428a481495179c014f8721,Cyber World,23.225072,77.42874,"Electronics Store,",0.5536641661858049,,,,5
96,4e0d8090a8099e1525ff8ba7,10 Downing Street,23.225072,77.42874,"Indian Restaurant,",0.3845931909982689,1.0,8.0,"{'total_photos': 11, 'total_ratings': 35, 'total_tips': 9}",5
97,4fab9649e4b0381a48ca1f84,Amer Bakery Hut,23.225072,77.42874,"Bakery,",0.9645124062319675,1.0,8.3,"{'total_photos': 12, 'total_ratings': 25, 'total_tips': 12}",5
98,5b9f7d795d891b002c18f310,Cinépolis - Db Mall,23.225072,77.42874,"Movie Theater,",0.9160415464512406,,7.4,"{'total_photos': 4, 'total_ratings': 0}",5
99,51a6eb61498e8d9efce733df,Goyal Medical Hall,23.225072,77.42874,"Drugstore,",0.7400461627236007,,,,5
100,4f58a02ee4b0b09e31ca69e6,New market,23.22866,77.415382,"Bookstore,",0.9183496826312753,,,,6
101,90376c660b9244b26efe9daf,Ashok Enterprises,23.22866,77.415382,"Retail,",,,,,6
102,282e99e5850f4fb5eb4efa81,Verity Stationery,23.22866,77.415382,"Retail,",,,,,6
103,144dd6d0c308422c2ed340fb,New Asha Proteins and General Store,23.22866,77.415382,"Retail,",,,,,6
104,6d322dadf12547c6d9237f10,Seva Bike Repairing Shop,23.22866,77.415382,"Car Parts and Accessories,",,,,,6
105,8c76f23b291f4aae5011920d,Surya Photo and Electronics,23.22866,77.415382,"Photography Studio,",,,,,6
106,2f2448dc35d243b3eee70b7b,Tulsi Nagar and Alley,23.22866,77.415382,"Retail,",,,,,6
107,50811525e4b091f1694bddbc,Fulwani Proteins,23.22866,77.415382,"Bakery,",0.0574148874783612,1.0,,,6
108,50ac9ac5498e258b053e4fcf,Mayur Park,23.22866,77.415382,"Park,",0.0395268320830929,,,,6
109,752de5ea94534be225f262c2,New Champion Battery Auto Electrician,23.22866,77.415382,"Car Parts and Accessories,",,,,,6
110,4fab9873e4b0a1a273c15530,Prakash Taran Pushkar,23.231905,77.411919,"Swimming Pool,",0.4743219849971148,,,,5
111,5162c28ee4b069b26a673224,Amer Bakery Hut,23.231905,77.411919,"Bagel Shop,",0.9552798615118292,1.0,,,5
112,4f58a02ee4b0b09e31ca69e6,New market,23.231905,77.411919,"Bookstore,",0.9183496826312753,,,,5
113,5b212ef652ca456f83c997b7,Data Entry Bpo Services,23.231905,77.411919,"Computer Repair Service,",,,,,5
114,40bc230df7a84c3b400ca6d6,Trendy,23.231905,77.411919,,,,,,5
115,7e0580d3ab55410e1b870096,Jain Bharji,23.231905,77.411919,"Retail,",,,,,5
116,6a5b7d60521747f49df32982,Sun Enterprises,23.231905,77.411919,"Retail,",,,,,5
117,517cd3d0e4b036137dd07eaf,Nakhrali New Market,23.231905,77.411919,"Boutique,",0.7322562031159838,,,,5
118,2f2448dc35d243b3eee70b7b,Tulsi Nagar and Alley,23.231905,77.411919,"Retail,",,,,,5
119,6d322dadf12547c6d9237f10,Seva Bike Repairing Shop,23.231905,77.411919,"Car Parts and Accessories,",,,,,5
120,4e3cd6c08877b00cfc3fdf34,Top N Town Main Icecream Joint,23.23295,77.401322,"Food Court,",0.9864396999422966,,7.9,"{'total_photos': 8, 'total_ratings': 13, 'total_tips': 8}",4
121,4ef88d935c5c68fa0c49d186,Indian Coffee House,23.23295,77.401322,"Indian Restaurant,",0.9780727062896712,2.0,6.7,"{'total_photos': 8, 'total_ratings': 11, 'total_tips': 4}",4
122,4e577e1afa76435f0bcf141e,New Market,23.23295,77.401322,"Miscellaneous Store,",0.998268897864974,,6.5,"{'total_photos': 28, 'total_ratings': 39, 'total_tips': 11}",4
123,4ce7b3500f196dcb172b40ae,Db City Mall,23.23295,77.401322,"Shopping Mall,",0.657530294287363,,,,4
124,4fab9acde4b024d200756d77,Chhappan Bhog,23.23295,77.401322,"Breakfast Spot,",0.4281592613964224,1.0,,,4
125,502a67a6e4b0b266b919cf7f,Squash Court,23.23295,77.401322,"Sports and Recreation,",0.7683208309290248,,,,4
126,5067caf4e4b08e43d054cc7a,Indian Coffee House added by Afzal,23.23295,77.401322,"Café,",0.8413156376226197,1.0,,,4
127,5b3a3de8c9f9070039c43c3c,"Keventers, New market",23.23295,77.401322,"Café,",0.9324870167339872,1.0,,,4
128,4fd971b0e4b02b4ce269663f,Idbi Bank,23.23295,77.401322,"Bank,",0.0126947489901904,,,,4
129,61604d10c35900480b25a10f,Samsung SmartCafé (Variety Music Corner),23.23295,77.401322,"Mobile Phone Store,",0.1145412579342181,,,,4
130,4e3cd6c08877b00cfc3fdf34,Top N Town Main Icecream Joint,23.237019,77.40025,"Food Court,",0.9864396999422966,,7.9,"{'total_photos': 8, 'total_ratings': 13, 'total_tips': 8}",3
131,50ffef49e4b00caa77337793,Manohar,23.237019,77.40025,"Asian Restaurant,",0.6105020196191575,2.0,,,3
132,4ff82ecce4b01a84ee0851e9,Ahuja Proteins,23.237019,77.40025,"Dessert Shop,",0.4088286208886324,1.0,,,3
133,528c488d498eb58b035b8fdf,New Inn Restaurant,23.237019,77.40025,"Asian Restaurant,",0.1465666474321985,2.0,,,3
134,5381a37b498e59fb623325f1,Kwality Restaurant,23.237019,77.40025,"Indian Restaurant,",0.9547028274668206,2.0,,,3
135,5303a0d711d2eac30b6389a7,HDFC Bank ATM,23.237019,77.40025,"ATM,",0.8237160992498558,,,,3
136,5a8832bc4420d81511413f2d,Shear Matrix Salon,23.237019,77.40025,"Health and Beauty Service,",0.8444893248701674,,,,3
137,4d64a0976d943704c7046dbf,Fabindia,23.237019,77.40025,"Clothing Store,Women's Store,",0.8701673398730525,,,,3
138,50dc383be4b0974a0ca0d948,Mrignayani,23.237019,77.40025,"Arts and Crafts Store,",0.9218118869013272,,,,3
139,4dfa5f67091abf6d19d637f0,Chawla's,23.237019,77.40025,"Asian Restaurant,",0.0178880553952683,2.0,,,3
140,51ca3d3a0c524e9c782c1e94,Rajendra Bhavan,23.243884,77.397579,"Retail,",,,,,4
141,67cb0df0b4ee491ff474a424,Gandhi Bhavan,23.243884,77.397579,"Retail,",,,,,4
142,14da31bec947402727282e74,Tailor,23.243884,77.397579,"Retail,",,,,,4
143,577df56f498ec5eb3e068581,Khushboo Park,23.243884,77.397579,"Park,",0.3739180611656088,,,,4
144,5128b4fae4b01d5802641e46,Bake N Shake,23.243884,77.397579,"Coffee Shop,",0.7642815926139642,1.0,,,4
145,51c4981d498ed8aad5ce9721,Danish Icecream Palour,23.243884,77.397579,"Ice Cream Parlor,",0.9163300634737448,1.0,,,4
146,51336900e4b063789a511ca4,Pizza inn,23.243884,77.397579,"Fast Food Restaurant,",0.520196191575303,1.0,,,4
147,d6c38791c33d49e5643bad18,V-Care Psychiatry and De-addiction Clinic,23.243884,77.397579,,,,,,4
148,f868fc5ea684481ed7109de6,Centre For Research and Industrial Staff Performance,23.243884,77.397579,"Plumber,",,,,,4
149,adafff3453604d7c813f9ea5,Central Bank of India,23.243884,77.397579,"Banking and Finance,",,,,,4
150,5048e02de4b06b90915b8205,Bada Talao,23.244284,77.387085,"Scenic Lookout,",0.428736295441431,,,,7
151,4cd1680dde0f6dcb18b57063,High Spirits Pub and Grill,23.244284,77.387085,"Bar,",0.63733410271206,3.0,,,7
152,4bd10f4f20cd996092af2e9e,Hotel Lake View Ashok,23.244284,77.387085,"Hotel,",0.9474899019042125,2.0,,,7
153,4d4ec8294f67224b0c406650,La Kuchina,23.244284,77.387085,"Restaurant,",0.9650894402769764,2.0,8.2,"{'total_photos': 9, 'total_ratings': 11, 'total_tips': 4}",7
154,517cd2cde4b0be989ba6633f,Zivaya Spa @ Lake View Ashok,23.244284,77.387085,"Spa,Hotel,",0.6803231390652048,,,,7
155,4ebe766793ad36d7a86fc812,Cafechino,23.244284,77.387085,"Café,",0.9803808424697056,1.0,8.0,"{'total_photos': 10, 'total_ratings': 11, 'total_tips': 1}",7
156,bce23d77c1624b0d319d5d56,Laziz,23.244284,77.387085,"Indian Restaurant,",,,,,7
157,829eb8f1a0a94724f33c5aa8,Tea Point Restaurant,23.244284,77.387085,"Restaurant,",,,,,7
158,44e8d170da254c1c4bec7e08,Cafe Cabana,23.244284,77.387085,"Cafes, Coffee, and Tea Houses,",,,,,7
159,34d245d06cbe41e621b1b0a2,China Town,23.244284,77.387085,"Asian Restaurant,",,,,,7
160,4e8720540aaf7a3a04b0297f,Cafe Coffee Day,23.242482,77.381173,"Coffee Shop,",0.9002791493899163,1.0,7.4,"{'total_photos': 22, 'total_ratings': 22, 'total_tips': 9}",4
